Id,Pred
2007_1107_1112,0.5
2007_1107_1116,0.5
2007_1107_1125,0.5
2007_1107_1130,0.5
2007_1107_1139,0.5
2007_1107_1140,0.5
2007_1107_1148,0.5
2007_1107_1166,0.5
2007_1107_1172,0.5
2007_1107_1181,0.5
2007_1107_1184,0.5
2007_1107_1196,0.5
2007_1107_1197,0.5
2007_1107_1203,0.5
2007_1107_1207,0.5
2007_1107_1210,0.5
2007_1107_1211,0.5
2007_1107_1221,0.5
2007_1107_1228,0.5
2007_1107_1231,0.5
2007_1107_1238,0.5
2007_1107_1242,0.5
2007_1107_1246,0.5
2007_1107_1253,0.5
2007_1107_1257,0.5
2007_1107_1266,0.5
2007_1107_1268,0.5
2007_1107_1272,0.5
2007_1107_1275,0.5
2007_1107_1277,0.5
2007_1107_1305,0.5
2007_1107_1308,0.5
2007_1107_1310,0.5
2007_1107_1314,0.5
2007_1107_1317,0.5
2007_1107_1323,0.5
2007_1107_1326,0.5
2007_1107_1330,0.5
2007_1107_1331,0.5
2007_1107_1332,0.5
2007_1107_1335,0.5
2007_1107_1338,0.5
2007_1107_1345,0.5
2007_1107_1356,0.5
2007_1107_1390,0.5
2007_1107_1394,0.5
2007_1107_1397,0.5
2007_1107_1400,0.5
2007_1107_1401,0.5
2007_1107_1403,0.5
2007_1107_1417,0.5
2007_1107_1424,0.5
2007_1107_1425,0.5
2007_1107_1433,0.5
2007_1107_1435,0.5
2007_1107_1437,0.5
2007_1107_1438,0.5
2007_1107_1439,0.5
2007_1107_1450,0.5
2007_1107_1451,0.5
2007_1107_1457,0.5
2007_1107_1458,0.5
2007_1107_1460,0.5
2007_1107_1462,0.5
2007_1112_1116,0.5
2007_1112_1125,0.5
2007_1112_1130,0.5
2007_1112_1139,0.5
2007_1112_1140,0.5
2007_1112_1148,0.5
2007_1112_1166,0.5
2007_1112_1172,0.5
2007_1112_1181,0.5
2007_1112_1184,0.5
2007_1112_1196,0.5
2007_1112_1197,0.5
