Id,Pred
2005_1104_1105,-1
2005_1104_1112,-1
2005_1104_1130,-1
2005_1104_1137,-1
2005_1104_1150,-1
2005_1104_1151,-1
2005_1104_1153,-1
2005_1104_1163,-1
2005_1104_1166,-1
2005_1104_1175,-1
2005_1104_1181,-1
2005_1104_1184,-1
2005_1104_1192,-1
2005_1104_1196,-1
2005_1104_1203,-1
2005_1104_1210,-1
2005_1104_1211,-1
2005_1104_1228,-1
2005_1104_1234,-1
2005_1104_1235,-1
2005_1104_1242,-1
2005_1104_1246,-1
2005_1104_1257,-1
2005_1104_1261,-1
2005_1104_1277,-1
2005_1104_1278,-1
2005_1104_1280,-1
2005_1104_1285,-1
2005_1104_1301,-1
2005_1104_1305,-1
2005_1104_1307,-1
2005_1104_1310,-1
2005_1104_1314,-1
2005_1104_1320,-1
2005_1104_1324,-1
2005_1104_1325,-1
2005_1104_1328,-1
2005_1104_1329,-1
2005_1104_1330,-1
2005_1104_1334,-1
2005_1104_1335,-1
2005_1104_1338,-1
2005_1104_1356,-1
2005_1104_1368,-1
2005_1104_1388,-1
2005_1104_1390,-1
2005_1104_1393,-1
2005_1104_1400,-1
2005_1104_1403,-1
2005_1104_1412,-1
2005_1104_1416,-1
2005_1104_1417,-1
2005_1104_1418,-1
2005_1104_1428,-1
2005_1104_1429,-1
2005_1104_1431,-1
2005_1104_1436,-1
2005_1104_1437,-1
2005_1104_1448,-1
2005_1104_1449,-1
2005_1104_1452,-1
2005_1104_1454,0
2005_1104_1457,-1
2005_1104_1458,-1
2005_1105_1112,-1
2005_1105_1130,-1
2005_1105_1137,-1
2005_1105_1150,-1
2005_1105_1151,-1
2005_1105_1153,-1
2005_1105_1163,-1
2005_1105_1166,-1
2005_1105_1175,-1
2005_1105_1181,-1
2005_1105_1184,-1
2005_1105_1192,-1
2005_1105_1196,-1
2005_1105_1203,-1
2005_1105_1210,-1
2005_1105_1211,-1
2005_1105_1228,-1
2005_1105_1234,-1
2005_1105_1235,-1
2005_1105_1242,-1
2005_1105_1246,-1
2005_1105_1257,-1
2005_1105_1261,-1
2005_1105_1277,-1
2005_1105_1278,-1
2005_1105_1280,-1
2005_1105_1285,-1
2005_1105_1301,-1
2005_1105_1305,-1
2005_1105_1307,-1
2005_1105_1310,-1
2005_1105_1314,-1
2005_1105_1320,-1
2005_1105_1324,0
2005_1105_1325,-1
2005_1105_1328,-1
2005_1105_1329,-1
2005_1105_1330,-1
2005_1105_1334,-1
2005_1105_1335,-1
2005_1105_1338,-1
2005_1105_1356,-1
2005_1105_1368,-1
2005_1105_1388,-1
2005_1105_1390,-1
2005_1105_1393,-1
2005_1105_1400,-1
2005_1105_1403,-1
2005_1105_1412,-1
2005_1105_1416,-1
2005_1105_1417,-1
